,data,state,county,fips,caseDensity,testPositivityRatio,Population,tier
0,2020-11-18,AK,Aleutians East Borough,2013,8.562010360032536,0.038461538461538464,3337,1
1,2020-11-18,AK,Aleutians West Census Area,2016,5.071251077640854,0.006578947368421052,5634,2
2,2020-11-18,AK,Anchorage Municipality,2020,130.6547619047619,0.09333222618948768,288000,1
3,2020-11-18,AK,Bethel Census Area,2050,151.5127970039316,0.14544795067101926,18386,1
4,2020-11-18,AK,Bristol Bay Borough,2060,0.0,0.005,836,4
5,2020-11-18,AK,Denali Borough,2068,13.62490632876899,0.03947368421052632,2097,1
6,2020-11-18,AK,Dillingham Census Area,2070,23.24770428920144,0.0711297071129707,4916,1
7,2020-11-18,AK,Fairbanks North Star Borough,2090,48.97166870961129,0.0796184543507884,96849,1
8,2020-11-18,AK,Juneau City and Borough,2110,36.19011875720451,0.04110393423370523,31974,1
9,2020-11-18,AK,Kenai Peninsula Borough,2122,92.22398504949436,0.12761241291956935,58708,1
10,2020-11-18,AK,Ketchikan Gateway Borough,2130,29.80258357569343,0.017278617710583154,13901,1
11,2020-11-18,AK,Kodiak Island Borough,2150,38.46745653177412,0.03314285714285715,12998,1
12,2020-11-18,AK,Kusilvak Census Area,2158,34.36544211141276,0.17946577629382304,8314,1
13,2020-11-18,AK,Matanuska-Susitna Borough,2170,39.30262892383335,0.13456937799043062,108317,1
14,2020-11-18,AK,Nome Census Area,2180,19.99200319872051,0.008396641343462616,10004,1
15,2020-11-18,AK,North Slope Borough,2185,50.85435313262815,0.06412213740458016,9832,1
16,2020-11-18,AK,Northwest Arctic Borough,2188,29.99231446941721,0.027134876296887468,7621,1
17,2020-11-18,AK,Petersburg Borough,2195,4.3740705100166215,0.02127659574468085,3266,2
18,2020-11-18,AK,Sitka City and Borough,2220,48.77966728902794,0.015602836879432626,8493,1
19,2020-11-18,AK,Southeast Fairbanks Census Area,2240,116.05977078195271,0.12087912087912088,6893,1
20,2020-11-18,AK,Valdez-Cordova Census Area,2261,27.94423572515292,0.04201680672268908,9202,1
21,2020-11-18,AK,Wrangell City and Borough,2275,6.6613375965893935,0.004444444444444444,2502,2
22,2020-11-18,AL,Autauga County,1001,45.51463500075431,0.179,55869,1
23,2020-11-18,AL,Baldwin County,1003,28.15751312844049,0.106,223234,1
24,2020-11-18,AL,Barbour County,1005,14.4674251455423,0.102,24686,1
25,2020-11-18,AL,Bibb County,1007,29.98252082828309,0.157,22394,1
26,2020-11-18,AL,Blount County,1009,61.267546481809966,0.315,57826,1
27,2020-11-18,AL,Bullock County,1011,14.142871285728429,0.141,10101,1
28,2020-11-18,AL,Butler County,1013,29.3823823235588,0.095,19448,1
29,2020-11-18,AL,Calhoun County,1015,60.611014354247494,0.203,113605,1
30,2020-11-18,AL,Chambers County,1017,48.114512539844824,0.12,33254,1
31,2020-11-18,AL,Cherokee County,1019,38.173766987326296,0.16,26196,1
32,2020-11-18,AL,Chilton County,1021,21.543685449330532,0.126,44428,1
33,2020-11-18,AL,Choctaw County,1023,4.539110107463431,0.092,12589,1
34,2020-11-18,AL,Clarke County,1025,26.609577028677865,0.083,23622,1
35,2020-11-18,AL,Clay County,1027,42.815766276287626,0.064,13235,1
36,2020-11-18,AL,Cleburne County,1029,48.86461626904283,0.232,14910,1
37,2020-11-18,AL,Coffee County,1031,46.12520947395426,0.165,52342,1
38,2020-11-18,AL,Colbert County,1033,68.01366479866145,0.17600000000000002,55241,1
39,2020-11-18,AL,Conecuh County,1035,36.699854384448734,0.093,12067,1
40,2020-11-18,AL,Coosa County,1037,48.230865074154956,0.199,10663,1
41,2020-11-18,AL,Covington County,1039,28.919230517114396,0.053,37049,1
