id,state,county,fips,tier
0,AK,Aleutians East Borough,2013,1
1,AK,Aleutians West Census Area,2016,2
2,AK,Anchorage Municipality,2020,1
3,AK,Bethel Census Area,2050,1
4,AK,Bristol Bay Borough,2060,4
5,AK,Denali Borough,2068,1
6,AK,Dillingham Census Area,2070,1
7,AK,Fairbanks North Star Borough,2090,1
8,AK,Juneau City and Borough,2110,1
9,AK,Kenai Peninsula Borough,2122,1
10,AK,Ketchikan Gateway Borough,2130,1
11,AK,Kodiak Island Borough,2150,1
12,AK,Kusilvak Census Area,2158,1
13,AK,Matanuska-Susitna Borough,2170,1
14,AK,Nome Census Area,2180,1
15,AK,North Slope Borough,2185,1
16,AK,Northwest Arctic Borough,2188,1
17,AK,Petersburg Borough,2195,2
18,AK,Sitka City and Borough,2220,1
19,AK,Southeast Fairbanks Census Area,2240,1
20,AK,Valdez-Cordova Census Area,2261,1
21,AK,Wrangell City and Borough,2275,2
22,AL,Autauga County,1001,1
23,AL,Baldwin County,1003,1
24,AL,Barbour County,1005,1
25,AL,Bibb County,1007,1
26,AL,Blount County,1009,1
27,AL,Bullock County,1011,1
28,AL,Butler County,1013,1
29,AL,Calhoun County,1015,1
30,AL,Chambers County,1017,1
31,AL,Cherokee County,1019,1
32,AL,Chilton County,1021,1
33,AL,Choctaw County,1023,1
34,AL,Clarke County,1025,1
35,AL,Clay County,1027,1
36,AL,Cleburne County,1029,1
37,AL,Coffee County,1031,1
38,AL,Colbert County,1033,1
39,AL,Conecuh County,1035,1
40,AL,Coosa County,1037,1
41,AL,Covington County,1039,1
42,AL,Crenshaw County,1041,1
43,AL,Cullman County,1043,1
44,AL,Dale County,1045,1
45,AL,Dallas County,1047,1
46,AL,DeKalb County,1049,1
47,AL,Elmore County,1051,1
48,AL,Escambia County,1053,1
49,AL,Etowah County,1055,1
50,AL,Fayette County,1057,1
51,AL,Franklin County,1059,1
52,AL,Geneva County,1061,1
53,AL,Greene County,1063,1
54,AL,Hale County,1065,1
55,AL,Henry County,1067,1
56,AL,Houston County,1069,1
57,AL,Jackson County,1071,1
